Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Low Noise Accelerometer X,Low Noise Accelerometer X,Low Noise Accelerometer Y,Low Noise Accelerometer Y,Low Noise Accelerometer Z,Low Noise Accelerometer Z,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Pressure,Pressure,Temperature,Temperature,GSR,GSR,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,kPa,no units,Celcius*,no units,kOhms,
11477749,133808.166503906,2058,-5.66265060240964,2517,-0.132530120481928,1384,7.98795180722892,8704,-5.33660331085224,-512,-0.313917841814838,-13376,8.20110361741263,-71,-1.0381679389313,68,1.08396946564885,-33,0.50381679389313,43226,99.738966643769,27174,27.5613957317107,50932,1961.07655258431,1493933792303,
11484303,134008.178710938,2061,-5.65060240963855,2516,-0.168674698795181,1384,7.98795180722892,8672,-5.31698344573881,-560,-0.343347639484979,-13504,8.27958307786634,-73,-1.08396946564885,71,1.11450381679389,-47,0.717557251908397,43227,99.7418603690183,27174,27.5613957317107,50931,1962.83104617717,1493933792491,
11490857,134208.190917969,2059,-5.67469879518072,2518,-0.144578313253012,1384,7.98795180722892,8688,-5.32679337829552,-576,-0.353157572041692,-13408,8.22072348252606,-42,-1.08396946564885,71,0.641221374045801,-39,0.595419847328244,43227,99.7418603690183,27174,27.5613957317107,50930,1964.58868192602,1493933792701,
11497411,134408.203125,2062,-5.66265060240964,2517,-0.180722891566265,1383,8,8704,-5.33660331085224,-560,-0.343347639484979,-13424,8.23053341508277,-45,-1.00763358778626,66,0.687022900763359,-42,0.641221374045801,43225,99.7360729192574,27174,27.5613957317107,50929,1966.34946827944,1493933792888,
11503965,134608.215332031,2059,-5.66265060240964,2517,-0.144578313253012,1384,7.98795180722892,8640,-5.29736358062538,-592,-0.362967504598406,-13408,8.22072348252606,-80,-1.12977099236641,74,1.22137404580153,-43,0.656488549618321,43225,99.7360729192574,27174,27.5613957317107,50928,1968.11341371633,1493933793097,
11510519,134808.227539063,2058,-5.62650602409639,2514,-0.132530120481928,1385,7.97590361445783,8608,-5.27774371551196,-480,-0.29429797670141,-13360,8.19129368485592,-32,-0.916030534351145,60,0.488549618320611,-48,0.732824427480916,43225,99.7377731942379,27175,27.5673005504041,50926,1971.65081590854,1493933793313,
11517073,135008.239746094,2059,-5.63855421686747,2515,-0.144578313253012,1386,7.96385542168675,8672,-5.31698344573881,-608,-0.37277743715512,-13344,8.1814837522992,-43,-1.12977099236641,74,0.656488549618321,-32,0.488549618320611,43225,99.7377731942379,27175,27.5673005504041,50925,1973.42428977447,1493933793511,
11523627,135208.251953125,2060,-5.65060240963855,2516,-0.156626506024096,1383,8,8624,-5.28755364806867,-656,-0.402207234825261,-13360,8.19129368485592,-25,-0.931297709923664,61,0.381679389312977,-47,0.717557251908397,43225,99.7377731942379,27175,27.5673005504041,50925,1973.42428977447,1493933793697,
11530181,135408.264160156,2056,-5.67469879518072,2518,-0.108433734939759,1384,7.98795180722892,8640,-5.29736358062538,-592,-0.362967504598406,-13440,8.24034334763948,-66,-1.00763358778626,66,1.00763358778626,-36,0.549618320610687,43225,99.7377731942379,27175,27.5673005504041,50924,1975.20095694536,1493933793893,
11536735,135608.276367188,2060,-5.66265060240964,2517,-0.156626506024096,1383,8,8672,-5.31698344573881,-576,-0.353157572041692,-13408,8.22072348252606,-47,-0.900763358778626,59,0.717557251908397,-47,0.717557251908397,43225,99.7377731942379,27175,27.5673005504041,50923,1976.98082605376,1493933794104,
11543289,135808.288574219,2058,-5.66265060240964,2517,-0.132530120481928,1384,7.98795180722892,8640,-5.29736358062538,-512,-0.313917841814838,-13344,8.1814837522992,-65,-1.20610687022901,79,0.99236641221374,-41,0.625954198473282,43225,99.7411736000246,27177,27.5791096425434,50922,1978.76390576335,1493933794288,
11549843,136008.30078125,2059,-5.66265060240964,2517,-0.144578313253012,1386,7.96385542168675,8656,-5.3071735131821,-544,-0.333537706928265,-13440,8.24034334763948,-79,-0.854961832061069,56,1.20610687022901,-44,0.67175572519084,43223,99.7353859235192,27177,27.5791096425434,50922,1978.76390576335,1493933794496,
11556397,136208.312988281,2057,-5.66265060240964,2517,-0.120481927710843,1384,7.98795180722892,8736,-5.35622317596567,-640,-0.392397302268547,-13392,8.21091354996934,-56,-0.83969465648855,55,0.854961832061069,-48,0.732824427480916,43225,99.7411736000246,27177,27.5791096425434,50921,1980.55020476909,1493933794710,
11562951,136408.325195313,2059,-5.65060240963855,2516,-0.144578313253012,1385,7.97590361445783,8704,-5.33660331085224,-608,-0.37277743715512,-13376,8.20110361741263,-43,-1.20610687022901,79,0.656488549618321,-52,0.793893129770992,43225,99.7411736000246,27177,27.5791096425434,50921,1980.55020476909,1493933794895,
